"p_success_prev_3w","out_mean","out_lci","out_uci"
0,0.59014652750235,0.516919421159494,0.661831344339567
0.05,0.581884652574537,0.510488825520055,0.6524022846431
0.1,0.573160086679598,0.503641453608322,0.642436049944961
0.15,0.563905653622469,0.496301264355083,0.63186934315361
0.2,0.554061670265597,0.488397203067131,0.620650005901891
0.25,0.543593238636649,0.479881321905913,0.608752814742062
0.3,0.532512932738776,0.470746856295727,0.596205982887543
0.35,0.520906046647398,0.461046984113737,0.583123029118109
0.4,0.508952154255477,0.450915794260741,0.569725996752124
0.45,0.496934022613792,0.440584472236278,0.556348155497338
0.5,0.485225330391018,0.430376333305572,0.543414914678365
0.55,0.474252915679814,0.420671368357416,0.531404057329594
0.6,0.464436178563881,0.411851157265644,0.520779734103228
0.65,0.456113978939136,0.404233708912326,0.511910620106299
0.7,0.449475885259912,0.397996684722111,0.50500752815236
0.75,0.444516947195079,0.393111104554839,0.500098268873785
0.8,0.441030540834393,0.389325450691958,0.49702995758667
0.85,0.438642993084687,0.386210051042696,0.49549510160123
0.9,0.436881279074212,0.383252263720498,0.495071659128336
0.95,0.43525615762652,0.379982199244642,0.495261910060846
1,0.433340205892773,0.376077843115062,0.495541639716202
