"p_success_curr_3w","out_mean","out_lci","out_uci"
0,1.50198761431024,1.00116984208063,2.00280538653985
0.05,1.46556550184649,0.977700558434847,1.95343044525814
0.1,1.4290610845992,0.954012088488607,1.9041100807098
0.15,1.39246277692729,0.930091114644033,1.85483443921055
0.2,1.35576157116194,0.905996917822599,1.80552622450128
0.25,1.31895151816208,0.881925775386468,1.7559772609377
0.3,1.28203050645378,0.858174950829405,1.70588606207816
0.35,1.2450024003257,0.834936941412043,1.65506785923936
0.4,1.20788136595458,0.811998932510194,1.60376379939897
0.45,1.17069807753872,0.788573642938875,1.55282251213857
0.5,1.13350574372835,0.763408990051758,1.50360249740495
0.55,1.09638241082101,0.735123668630517,1.4576411530115
0.6,1.05942589324892,0.702763158118464,1.41608862837937
0.65,1.02273962628916,0.666343060466907,1.37913619211142
0.7,0.986411364927853,0.626791507463817,1.34603122239189
0.75,0.950490468182952,0.585178803784182,1.31580213258172
0.8,0.914971507682896,0.541786496588572,1.28815651877722
0.85,0.879790725796084,0.495731921259534,1.26384953033263
0.9,0.844837591828033,0.445459121958991,1.24421606169707
0.95,0.809978171615651,0.389894101738103,1.2300622414932
1,0.775082797304853,0.329431868713707,1.220733725896
