"province","hz","confirmed","probable","cases","eligible","percent"
"Ituri","Bunia","5","0","5","yes",0.2
"Ituri","Komanda","63","10","73","yes",2.3
"Ituri","Lolwa","6","0","6","yes",0.2
"Ituri","Mambasa","81","4","85","yes",2.7
"Ituri","Mandima","334","3","337","yes",10.6
"Ituri","Nyankunde","1","0","1","no",0
"Ituri","Rwampara","7","0","7","yes",0.2
"Ituri","Tchomia","2","0","2","no",0.1
"North Kivu","Alimbongo","2","1","3","no",0.1
"North Kivu","Beni","677","9","686","yes",21.5
"North Kivu","Biena","16","1","17","yes",0.5
"North Kivu","Butembo","284","4","288","yes",9
"North Kivu","Goma","2","0","2","no",0.1
"North Kivu","Kalunguta","192","16","208","yes",6.5
"North Kivu","Katwa","643","24","667","yes",20.9
"North Kivu","Kayna","29","1","30","yes",0.9
"North Kivu","Kyondo","23","4","27","yes",0.8
"North Kivu","Lubero","34","1","35","yes",1.1
"North Kivu","Mabalako","329","3","332","yes",10.4
"North Kivu","Manguredjipa","22","0","22","yes",0.7
"North Kivu","Masereka","50","5","55","yes",1.7
"North Kivu","Musienene","74","1","75","yes",2.4
"North Kivu","Mutwanga","37","0","37","yes",1.2
"North Kivu","Nyiragongo","2","1","3","no",0.1
"North Kivu","Oicha","59","0","59","yes",1.9
"North Kivu","Pinga","2","0","2","no",0.1
"North Kivu","Vuhovi","106","14","120","yes",3.8
"South Kivu","Mwenga","4","0","4","no",0.1
